name,region,area,population,gdp
Afghanistan,South Asia,652225,26000000,null
Albania,Europe,28728,3200000,6656000000
Algeria,Middle East,2400000,32900000,75012000000
Andorra,Europe,468,64000,null
Angola,Africa,1250000,14500000,14935000000
Antigua and Barbuda,Americas,442,77000,770000000
Argentina,South America,2800000,39300000,1.46196E+11
Armenia,Europe,29743,3000000,3360000000
Australia,Asia-Pacific,7700000,20300000,5.4607E+11
Austria,Europe,83871,8100000,2.6163E+11
Azerbaijan,Europe,86600,8500000,null
Bahamas,Americas,13939,321000,4789320000
Bahrain,Middle East,717,754000,9357140000
Bangladesh,South Asia,143998,152600000,67144000000
Barbados,Americas,430,272000,2518720000
Belarus,Europe,207595,9800000,20776000000
Belgium,Europe,30528,10300000,3.19609E+11
Belize,Americas,22965,266000,null
Benin,Africa,112622,7100000,3763000000
Bhutan,South Asia,38364,2400000,1824000000
Bolivia,South America,1100000,9100000,null
Bosnia-Hercegovina,Europe,51129,4200000,8568000000
Botswana,Africa,581730,1800000,7812000000
Brazil,South America,8550000,182800000,5.64852E+11
Brunei,Asia-Pacific,5765,374000,null
Bulgaria,Europe,110994,7800000,21372000000
Burkina Faso,Africa,274200,13800000,4968000000
Burma,Asia-Pacific,676552,50700000,null
Burundi,Africa,27816,7300000,null
Cambodia,Asia-Pacific,181035,14800000,4736000000
Cameroon,Africa,465458,16600000,13280000000
Canada,North America,9900000,32000000,9.0848E+11
Cape Verde,Africa,4033,482000,853140000
Central African Republic,Africa,622984,3900000,null
Chad,Africa,1280000,9100000,2366000000
Chile,South America,756096,16200000,79542000000
China,Asia-Pacific,9600000,1300000000,1.677E+12
Colombia,South America,1140000,45600000,null
Comoros,Africa,1862,812000,null
Costa Rica,Americas,51100,4300000,null
Croatia,Europe,56594,4400000,28996000000
Cuba,Americas,110860,11300000,null
Cyprus,Europe,9250,807000,14187060000
Czech Republic,Europe,78866,10200000,93330000000
Democratic Republic of Congo,Africa,2340000,56000000,6720000000
Denmark,Europe,43098,5400000,2.1951E+11
Djibouti,Africa,23200,721000,null
Dominica,Americas,751,71000,259150000
Dominican Republic,Americas,48072,9000000,null
East Timor,Asia-Pacific,14609,857000,null
Ecuador,South America,272045,13400000,null
Egypt,Middle East,1000000,74900000,98119000000
El Salvador,Americas,21041,6700000,15745000000
Equatorial Guinea,Africa,28051,521000,484530000
Eritrea,Africa,117400,4561599,null
Estonia,Europe,45227,1300000,9113000000
Ethiopia,Africa,1130000,74200000,8162000000
Fiji,Asia-Pacific,18376,854000,null
Finland,Europe,338145,5200000,1.70508E+11
Former Yugoslav Republic of Macedonia,Europe,25713,2000000,4700000000
France,Europe,543965,60700000,1.82646E+12
Gabon,Africa,267667,1400000,null
Georgia,Europe,69700,5000000,5200000000
Germany,Europe,357027,82500000,2.4849E+12
Ghana,Africa,238533,21800000,8284000000
Greece,Europe,131957,11000000,1.8271E+11
Grenada,Americas,344,103000,null
Guatemala,Americas,108890,13000000,null
Guinea,Africa,245857,8800000,4048000000
Guinea-Bissau,Africa,36125,1600000,256000000
Guyana,South America,214969,768000,null
Haiti,Americas,27750,8500000,null
Honduras,Americas,112492,7200000,7416000000
Hungary,Europe,93030,9800000,81046000000
Iceland,Europe,103000,294000,11354280000
India,South Asia,3100000,1100000000,6.82E+11
Indonesia,Asia-Pacific,1900000,225300000,2.56842E+11
Iran,Middle East,1650000,70700000,1.6261E+11
Iraq,Middle East,438317,26500000,null
Ireland,Europe,70182,4000000,1.3712E+11
Israel and Palestinian territories,Middle East,20770,3800000,4256000000
Italy,Europe,301338,57200000,1.49406E+12
Ivory Coast,Africa,322462,17100000,13167000000
Jamaica,Americas,10991,2700000,7830000000
Japan,Asia-Pacific,377864,127900000,4.75532E+12
Jordan,Middle East,89342,5700000,12198000000
Kazakhstan,Asia-Pacific,2700000,15400000,null
Kenya,Africa,582646,32800000,15088000000
Kiribati,Asia-Pacific,810,85000,82450000
Kuwait,Middle East,17818,2700000,48519000000
Kyrgyzstan,Asia-Pacific,199900,5300000,null
Laos,Asia-Pacific,236800,5900000,2301000000
Latvia,Europe,64589,2300000,null
Lebanon,Middle East,10452,3800000,18924000000
Lesotho,Africa,30355,1800000,1332000000
Liberia,Africa,99067,3600000,396000000
Libya,Africa,1770000,5800000,25810000000
Liechtenstein,Europe,160,34000,null
Lithuania,Europe,65300,3400000,19516000000
Luxembourg,Europe,2586,465000,26146950000
Madagascar,Africa,587041,18400000,5520000000
Malawi,Africa,118484,12600000,2142000000
Malaysia,Asia-Pacific,329847,25300000,null
Mali,Africa,1250000,13800000,4968000000
Malta,Europe,316,397000,4863250000
Marshall Islands,Asia-Pacific,181,57000,135090000
Mauritania,Middle East,1040000,3100000,1302000000
Mauritius,Africa,2040,1200000,5568000000
Mexico,North America,1960000,106400000,7.20328E+11
Micronesia,Asia-Pacific,700,111000,null
Moldova,Europe,33800,4300000,3053000000
